 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH03_0112_S01	geneSets_priority1	REACTOME_PI3K_AKT_ACTIVATION (pd_up (3/38))	druggable: MLST8 (pd)	overlap_genes_in_pc_up AKT1S1,NGF and pd_up AKT1S1,MLST8,NGF						
TH03_0112_S01	geneSets_priority1	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING (pd_up (3/44))	druggable: ERBB2 (pd), MLST8 (pd)	overlap_genes_in_pc_up AKT1S1 and pd_up AKT1S1,ERBB2,MLST8						
TH03_0112_S01	geneSets_priority1	REACTOME_SIGNALING_BY_PDGF (pd_up (5/122))	druggable: MLST8 (pd)	overlap_genes_in_pc_up AKT1S1,COL2A1,COL9A3,THBS3 and pd_up AKT1S1,COL2A1,COL9A2,COL9A3,MLST8						
TH03_0112_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (7/396) and pc_up (14/396) and pd_up (12/396))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up CACNA1H,CDH15,CDH4,CNTNAP1,COL2A1,COL9A3,DRAP1,EBF1,KCNQ2,MAFA,NKX6-1,NR2F2,NTN1,ROBO2 and pd_up CDH15,COL2A1,COL9A2,COL9A3,ERBB2,KCNQ2,KLF5,MAFA,MED25,NR2F2,ROBO2,SEMA7A						
TH03_0112_S02	new sample									
TH03_0112_S02	Disease	sarcoma								
TH03_0112_S02	druggableUpOutlier	ERBB2	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	ERBB2	None		
TH03_0112_S02	druggableUpOutlier	GLI1	pc		Sonic Hedgehog (SHH)	Sonic Hedgehog (SHH)	GLI1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))		
TH03_0112_S02	druggableUpOutlier	PTCH1	pc		Sonic Hedgehog (SHH)	Sonic Hedgehog (SHH)	PTCH1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))		
TH03_0112_S02	geneSets_priority1	KEGG_HEDGEHOG_SIGNALING_PATHWAY (comm_up (3/56) and pc_up (6/56) and pd_up (3/56))	druggable: GLI1 (pc), PTCH1 (pc)	overlap_genes_in_pc_up BMP5,CSNK1G2,GLI1,PTCH1,WNT11,ZIC2 and pd_up BMP5,WNT11,ZIC2						
TH03_0112_S02	geneSets_priority1	REACTOME_AXON_GUIDANCE (pc_up (6/251) and pd_up (6/251))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up CACNA1G,CACNA1H,COL2A1,COL9A3,GFRA1,KCNQ2 and pd_up COL2A1,COL9A2,COL9A3,ERBB2,KCNQ2,SEMA6A						
TH03_0112_S02	geneSets_priority1	BIOCARTA_SHH_PATHWAY (pc_up (2/16))	druggable: GLI1 (pc), PTCH1 (pc)	overlap_genes_in_pc_up GLI1,PTCH1 and pd_up NA						
TH03_0112_S02	geneSets_priority1	HALLMARK_HEDGEHOG_SIGNALING (pc_up (4/36))	druggable: GLI1 (pc), PTCH1 (pc)	overlap_genes_in_pc_up CNTFR,GLI1,PTCH1,TLE1 and pd_up TLE1						
TH03_0112_S02	geneSets_priority1	HALLMARK_WNT_BETA_CATENIN_SIGNALING (pc_up (3/42))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up FZD1,MAML1,PTCH1 and pd_up FZD1						
TH03_0112_S02	geneSets_priority1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))	druggable: GLI1 (pc), PTCH1 (pc)	overlap_genes_in_pc_up CSNK1G2,GLI1,PTCH1 and pd_up NA						
TH03_0112_S02	geneSets_priority1	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS (pc_up (4/88))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up FZD1,PTCH1,PTH1R,WNT11 and pd_up FZD1,WNT11						
TH03_0112_S02	geneSets_broadCancer	KEGG_BASAL_CELL_CARCINOMA (comm_up (3/55) and pc_up (5/55) and pd_up (3/55))	druggable: GLI1 (pc), PTCH1 (pc)	overlap_genes_in_pc_up FZD1,GLI1,PTCH1,TCF7L2,WNT11 and pd_up FZD1,TCF7L2,WNT11						
TH03_0112_S02	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (5/396) and pc_up (10/396) and pd_up (9/396))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up CACNA1G,CACNA1H,CDON,COL2A1,COL9A3,EBF1,GFRA1,KCNQ2,MAFA,NR2F2 and pd_up COL2A1,COL9A2,COL9A3,ERBB2,KCNQ2,KLF5,MAFA,NR2F2,SEMA6A						
TH03_0113_S01	new sample									
TH03_0113_S01	Disease	myoepithelial carcinoma of the liver								
TH03_0113_S01	druggableUpOutlier	FGFR1	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FGFR1	PID_FGF_PATHWAY (pd_up (3/55))		
TH03_0113_S01	geneSets_priority1	PID_FGF_PATHWAY (pd_up (3/55))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGFR1,HGF and pd_up FGFR1,FGFR2,HGF						
TH03_0113_S01	geneSets_priority1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR (pd_up (4/100))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2,PTEN						
TH03_0113_S01	geneSets_priority1	REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION (pd_up (3/22))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_priority1	REACTOME_FRS2_MEDIATED_CASCADE (pd_up (3/36))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_priority1	REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING (pd_up (3/37))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_priority1	REACTOME_PI_3K_CASCADE (pd_up (4/56))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2,PTEN						
TH03_0113_S01	geneSets_priority1	REACTOME_PI3K_CASCADE (pd_up (3/71))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_priority1	REACTOME_SHC_MEDIATED_CASCADE (pd_up (3/28))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR (pd_up (4/112))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2,PTEN						
TH03_0113_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE (pd_up (4/127))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2,PTEN						
TH03_0113_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_MUTANTS (pd_up (3/44))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_broadCancer	KEGG_MELANOMA (comm_up (3/71) and pc_up (3/71) and pd_up (4/71))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1,HGF and pd_up FGF7,FGFR1,HGF,PTEN						
TH03_0113_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (6/328))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1,HGF and pd_up FGF7,FGFR1,FGFR2,HGF,MLH1,PTEN						
TH03_0113_S01	geneSets_broadCancer	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE (pd_up (3/54))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1,FGFR2						
TH03_0113_S01	geneSets_nonCancer	HALLMARK_ANGIOGENESIS (comm_up (4/36) and pc_up (4/36) and pd_up (4/36))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up CXCL6,FGFR1,MSX1,VTN and pd_up CXCL6,FGFR1,MSX1,VTN						
TH03_0113_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (pd_up (6/396))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up CDON,FGFR1,PAX6 and pd_up CAP2,CDON,DLG1,DRAP1,FGFR1,PAX6						
TH03_0113_S01	geneSets_nonCancer	KEGG_ADHERENS_JUNCTION (pd_up (3/75))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGFR1 and pd_up FGFR1,PVRL3,SNAI2						
TH03_0113_S02	new sample									
TH03_0113_S02	Disease	myoepithelial carcinoma of the liver								
TH03_0113_S02	druggableUpOutlier	FGFR1	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FGFR1	REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION (comm_up (2/22) and pc_up (2/22))		
TH03_0113_S02	geneSets_priority1	REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION (comm_up (2/22) and pc_up (2/22))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1						
TH03_0113_S02	geneSets_priority1	KEGG_MAPK_SIGNALING_PATHWAY (pd_up (8/267))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1,NGF and pd_up CDC25B,FAS,FGF7,FGFR1,HSPB1,MAP3K12,NFATC4,NGF						
TH03_0113_S02	geneSets_priority1	REACTOME_SHC_MEDIATED_CASCADE (comm_up (2/28))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1 and pd_up FGF7,FGFR1						
TH03_0113_S02	geneSets_broadCancer	KEGG_MELANOMA (comm_up (3/71) and pc_up (3/71) and pd_up (4/71))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGF7,FGFR1,HGF and pd_up CDKN2A,FGF7,FGFR1,HGF						
TH03_0113_S02	geneSets_nonCancer	HALLMARK_ANGIOGENESIS (comm_up (3/36) and pc_up (3/36) and pd_up (4/36))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up APOH,FGFR1,VTN and pd_up APOH,FGFR1,S100A4,VTN						
TH03_0113_S02	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (pd_up (8/396))	druggable: FGFR1 (pc and pd)	overlap_genes_in_pc_up FGFR1,PAX6 and pd_up DRAP1,FGFR1,MED25,PAX6,RANBP9,RBPJ,SPTAN1,VASP						
TH03_0114_S01	new sample									
TH03_0114_S01	Disease	fibrolamellar hepatocellular carcinoma								
TH03_0114_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0114_S01		no enriched druggable geneSets								
TH03_0115_S01	new sample									
TH03_0115_S01	Disease	teratoma								
TH03_0115_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0115_S01		no enriched druggable geneSets								
TH03_0116_S01	new sample									
TH03_0116_S01	Disease	hepatoblastoma								
TH03_0116_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0116_S01		no enriched druggable geneSets								
TH03_0117_S01	new sample									
TH03_0117_S01	Disease	glioma								
TH03_0117_S01	druggableUpOutlier	HSP90B1	pd		Heat Shock Proteins	Heat Shock Proteins	HSP90B1	None		
TH03_0117_S01	druggableUpOutlier	PDGFRB	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	PDGFRB	PID_PDGFRB_PATHWAY (pd_up (9/129))		
TH03_0117_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (comm_up (4/201) and pd_up (38/201))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up CHAD,IBSP,LAMC3,VWF and pd_up ACTG1,ACTN4,CAV2,CHAD,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,CTNNB1,FN1,IBSP,ILK,ITGA1,ITGA3,ITGA5,ITGB1,LAMA4,LAMB1,LAMC1,LAMC3,MYL12A,MYL12B,MYL9,PDGFRB,PTEN,RAP1B,SHC1,THBS1,THBS4,VASP,VWF,ZYX						
TH03_0117_S01	geneSets_priority1	HALLMARK_MTORC1_SIGNALING (pd_up (9/200))	druggable: HSP90B1 (pd)	overlap_genes_in_pc_up NMT1 and pd_up CTSC,HSP90B1,LGMN,M6PR,NAMPT,NMT1,PPP1R15A,SERPINH1,SLC2A3						
TH03_0117_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pd_up (9/129))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up PPP2R2B,RAB5A and pd_up ACTA2,ACTN4,ARPC2,EPS8,PDGFRB,PTEN,RAP1B,SHC1,TAGLN						
TH03_0117_S01	geneSets_priority1	PID_IL6_7_PATHWAY (pd_up (6/47))	druggable: HSP90B1 (pd)	overlap_genes_in_pc_up NA and pd_up A2M,CEBPD,HSP90B1,JUNB,SOCS3,TIMP1						
TH03_0117_S01	geneSets_priority1	PID_INTEGRIN3_PATHWAY (pd_up (13/43))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up IBSP and pd_up COL1A1,COL1A2,COL4A1,CYR61,FN1,IBSP,LAMA4,LAMB1,LAMC1,PDGFRB,PECAM1,PLAU,THBS1						
TH03_0117_S01	geneSets_priority1	PID_UPA_UPAR_PATHWAY (pd_up (7/42))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up FPR1 and pd_up FN1,ITGA3,ITGA5,ITGB1,MMP9,PDGFRB,PLAU						
TH03_0117_S01	geneSets_priority1	REACTOME_SIGNALING_BY_PDGF (pd_up (16/122))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up COL9A3 and pd_up COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,FURIN,PDGFRB,PLAT,PTEN,THBS1,THBS4						
TH03_0117_S01	geneSets_broadCancer	HALLMARK_APOPTOSIS (pd_up (12/161))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up FEZ1,PEA15 and pd_up BGN,CASP4,CTNNB1,DCN,HMOX1,LGALS3,LMNA,LUM,MMP2,PDGFRB,PLAT,TIMP1						
TH03_0117_S01	geneSets_broadCancer	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (pd_up (48/200))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up NA and pd_up ACTA2,BGN,CALD1,CALU,CD59,CDH11,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A2,COL6A3,CTHRC1,CYR61,DCN,ECM1,FN1,FSTL1,GLIPR1,IGFBP4,ITGA5,ITGB1,LAMC1,LOXL1,LOXL2,LUM,MGP,MMP2,MYL9,NNMT,PCOLCE,PDGFRB,PDLIM4,PMEPA1,POSTN,PPIB,SERPINH1,TAGLN,TGM2,THBS1,TIMP1,TPM1,TPM2,TPM4,WIPF1						
TH03_0117_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pd_up (31/933))	druggable: HSP90B1 (pd)	overlap_genes_in_pc_up S100B,TRIM9 and pd_up C7,CASP4,CD34,CFB,CFH,CFI,CTSA,CTSB,CTSC,EIF4E2,HLA-DQA2,HSP90B1,ICAM1,IFITM2,ITGB1,LGALS3,LGMN,PDIA3,PTEN,PVRL2,RAB7A,RAP1B,RNF25,SAA1,SEC13,SEC31A,SH3KBP1,SHC1,SOCS3,VASP						
TH03_0117_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (16/328))	druggable: HSP90B1 (pd), PDGFRB (pd)	overlap_genes_in_pc_up LAMC3 and pd_up COL4A1,COL4A2,CTNNB1,FN1,HSP90B1,ITGA3,ITGB1,JUP,LAMA4,LAMB1,LAMC1,LAMC3,MMP2,MMP9,PDGFRB,PTEN						
TH03_0117_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (pd_up (9/144))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up NA and pd_up COL1A1,COL1A2,COL3A1,COL5A2,CYR61,LAMC1,NRP1,PDGFRB,PTEN						
TH03_0117_S01	geneSets_nonCancer	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON (pd_up (15/216))	druggable: PDGFRB (pd)	overlap_genes_in_pc_up NA and pd_up ACTG1,ACTN4,ARPC2,FN1,ITGA1,ITGA3,ITGA5,ITGB1,MYH9,MYL12A,MYL12B,MYL9,PDGFRB,PFN1,RRAS						
TH03_0117_S01	geneSets_nonCancer	REACTOME_INNATE_IMMUNE_SYSTEM (pd_up (11/279))	druggable: HSP90B1 (pd)	overlap_genes_in_pc_up S100B and pd_up C7,CASP4,CFB,CFH,CFI,CTSB,HSP90B1,LGALS3,LGMN,SAA1						
TH03_0118_S01	new sample									
TH03_0118_S01	Disease	acute myeloid leukemia								
TH03_0118_S01	druggableUpOutlier	BTK	pc		B-cell receptor signaling	B-cell receptor signaling	BTK	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (4/75))		
TH03_0118_S01	druggableUpOutlier	FLT3	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT3	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (6/88))		
TH03_0118_S01	geneSets_priority1	PID_BCR_5PATHWAY (pc_up (4/65))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,INPP5D,PTPN6,PTPRC and pd_up NA						
TH03_0118_S01	geneSets_priority1	PID_FCER1_PATHWAY (pc_up (4/62))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,FCER1A,INPP5D,LAT2 and pd_up NA						
TH03_0118_S01	geneSets_priority1	PID_PI3KCI_PATHWAY (pc_up (3/49))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,FGR,INPP5D and pd_up ARF5						
TH03_0118_S01	geneSets_priority1	SIG_BCR_SIGNALING_PATHWAY (pc_up (3/46))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,INPP5D,PTPRC and pd_up NA						
TH03_0118_S01	geneSets_broadCancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM (pc_up (15/539))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CD96,HCST,ICAM3,NCF4,ORAI1,PTPN6,PTPRC,RAP1B,RASGRP2,RASGRP3,RNF220,SELL,UBA7,WAS and pd_up NA						
TH03_0118_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pc_up (21/933))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CARD9,CD96,CFD,HCST,ICAM3,IL3RA,IRF5,MAPKAPK3,NCF4,ORAI1,PTPN6,PTPRC,RAP1B,RASGRP2,RASGRP3,RNF220,SELL,SOCS2,UBA7,WAS and pd_up CFH						
TH03_0118_S01	geneSets_broadCancer	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (4/75))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,INPP5D,PTPN6,RASGRP3 and pd_up NA						
TH03_0118_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (6/88))	druggable: FLT3 (pc)	overlap_genes_in_pc_up CD33,CSF3R,DNTT,FLT3,IL3RA,ITGA4 and pd_up NA						
TH03_0118_S01	geneSets_broadCancer	KEGG_PRIMARY_IMMUNODEFICIENCY (pc_up (4/35))	druggable: BTK (pc)	overlap_genes_in_pc_up ADA,BTK,IGLL1,PTPRC and pd_up NA						
TH03_0118_S01	geneSets_broadCancer	PID_EPO_PATHWAY (pc_up (3/34))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,INPP5D,PTPN6 and pd_up NA						
TH03_0139_S01	new sample									
TH03_0139_S01	Disease	osteosarcoma								
TH03_0139_S01	druggableUpOutlier	CCNE1	pc, pd		Cell Cycle	Cell Cycle	CCNE1	REACTOME_CELL_CYCLE (pd_up (8/421))		
TH03_0139_S01	geneSets_priority1	HALLMARK_E2F_TARGETS (pd_up (7/200))	druggable: CCNE1 (pc and pd)	overlap_genes_in_pc_up AK2,CCNE1,PA2G4 and pd_up AK2,CCNE1,GSPT1,MYC,NOLC1,PA2G4						
TH03_0139_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE (pd_up (8/421))	druggable: CCNE1 (pc and pd)	overlap_genes_in_pc_up CCNE1,CDC27,DKC1,PSMC2 and pd_up AHCTF1,CCNE1,DKC1,MYC,NSL1,PAFAH1B1,PSMD7,UBE2I						
TH03_0139_S01	geneSets_broadCancer	REACTOME_CELL_CYCLE_MITOTIC (pd_up (6/325))	druggable: CCNE1 (pc and pd)	overlap_genes_in_pc_up CCNE1,CDC27,PSMC2 and pd_up AHCTF1,CCNE1,MYC,NSL1,PAFAH1B1,PSMD7						
TH03_0139_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_UP (pd_up (6/158))	druggable: CCNE1 (pc and pd)	overlap_genes_in_pc_up CCK,CCNE1,GAL and pd_up ATF3,CCK,CCNE1,GRPEL1,HNRNPU,RRAD						
TH03_0139_S01		REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_ (pd_up (3/65))	druggable: CCNE1 (pc and pd)	overlap_genes_in_pc_up CCNE1,PSMC2 and pd_up CCNE1,MYC,PSMD7						
TH03_0140_S01	new sample									
TH03_0140_S01	Disease	osteosarcoma								
TH03_0140_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0140_S01		no enriched druggable geneSets								
TH03_0141_S01	new sample									
TH03_0141_S01	Disease	osteosarcoma								
TH03_0141_S01	druggableUpOutlier	CCND3	pc, pd		Cell Cycle	Cell Cycle	CCND3	REACTOME_CELL_CYCLE (pc_up (6/421) and pd_up (5/421))		
TH03_0141_S01	druggableUpOutlier	CDK4	pc, pd		Cell Cycle	Cell Cycle	CDK4	REACTOME_CELL_CYCLE (pc_up (6/421) and pd_up (5/421))		
TH03_0141_S01	druggableUpOutlier	MDM2	pd		BCL2/MDM2	BCL2/MDM2	MDM2	BIOCARTA_P53_PATHWAY (pd_up (2/16))		
TH03_0141_S01	druggableUpOutlier	PTCH1	pc		Sonic Hedgehog (SHH)	Sonic Hedgehog (SHH)	PTCH1	None		
TH03_0141_S01	geneSets_priority1	BIOCARTA_CELLCYCLE_PATHWAY (comm_up (2/23) and pc_up (2/23) and pd_up (2/23))	druggable: CCND3 (pc and pd), CDK4 (pc and pd)	overlap_genes_in_pc_up CCND3,CDK4 and pd_up CCND3,CDK4						
TH03_0141_S01	geneSets_priority1	PID_AR_PATHWAY (comm_up (3/61) and pc_up (3/61) and pd_up (3/61))	druggable: CCND3 (pc and pd)	overlap_genes_in_pc_up CCND3,CTDSP2,SRF and pd_up CCND3,CTDSP2,SRF						
TH03_0141_S01	geneSets_priority1	BIOCARTA_RACCYCD_PATHWAY (comm_up (2/26) and pd_up (2/26))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,RAC1 and pd_up CDK4,RAC1						
TH03_0141_S01	geneSets_priority1	HALLMARK_PI3K_AKT_MTOR_SIGNALING (comm_up (3/105) and pd_up (3/105))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,DDIT3,RAC1 and pd_up CDK4,DDIT3,RAC1						
TH03_0141_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (pc_up (10/201))	druggable: CCND3 (pc and pd)	overlap_genes_in_pc_up CCND3,CHAD,COL11A2,IBSP,ITGA10,ITGA11,ITGB3,PDGFA,RAC1,RAP1B and pd_up CCND3,RAC1,RAP1B						
TH03_0141_S01	geneSets_priority1	PID_RB_1PATHWAY (pc_up (3/65) and pd_up (3/65))	druggable: CCND3 (pc and pd), CDK4 (pc and pd), MDM2 (pd)	overlap_genes_in_pc_up CCND3,CDK4,RUNX2 and pd_up CCND3,CDK4,MDM2						
TH03_0141_S01	geneSets_priority1	REACTOME_G1_PHASE (comm_up (2/38) and pd_up (2/38))	druggable: CCND3 (pc and pd), CDK4 (pc and pd)	overlap_genes_in_pc_up CCND3,CDK4 and pd_up CCND3,CDK4						
TH03_0141_S01	geneSets_priority1	REACTOME_MITOTIC_G1_G1_S_PHASES (pc_up (4/137))	druggable: CCND3 (pc and pd), CDK4 (pc and pd)	overlap_genes_in_pc_up CCND3,CDK4,MAX,PSMC1 and pd_up CCND3,CDK4						
TH03_0141_S01	geneSets_priority1	REACTOME_SIGNALLING_BY_NGF (pd_up (4/217))	druggable: MDM2 (pd)	overlap_genes_in_pc_up FRS2,RAC1 and pd_up ADCY6,FRS2,MDM2,RAC1						
TH03_0141_S01	geneSets_priority1	BIOCARTA_ARF_PATHWAY (pd_up (2/17))	druggable: MDM2 (pd)	overlap_genes_in_pc_up RAC1 and pd_up MDM2,RAC1						
TH03_0141_S01	geneSets_priority1	BIOCARTA_P53_PATHWAY (pd_up (2/16))	druggable: CDK4 (pc and pd), MDM2 (pd)	overlap_genes_in_pc_up CDK4 and pd_up CDK4,MDM2						
TH03_0141_S01	geneSets_priority1	KEGG_P53_SIGNALING_PATHWAY (pd_up (3/69))	druggable: CCND3 (pc and pd), CDK4 (pc and pd), MDM2 (pd)	overlap_genes_in_pc_up CCND3,CDK4 and pd_up CCND3,CDK4,MDM2						
TH03_0141_S01	geneSets_priority1	PID_ATF2_PATHWAY (pc_up (3/59))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,DDIT3,JDP2 and pd_up CDK4,DDIT3						
TH03_0141_S01	geneSets_priority1	PID_AURORA_A_PATHWAY (pd_up (2/31))	druggable: MDM2 (pd)	overlap_genes_in_pc_up NA and pd_up GIT1,MDM2						
TH03_0141_S01	geneSets_priority1	PID_MYC_ACTIV_PATHWAY (pc_up (4/79))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,MAX,MMP9,POLR3D and pd_up CDK4						
TH03_0141_S01	geneSets_priority1	PID_NFAT_TFPATHWAY (pc_up (3/47))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CBLB,CDK4,NFATC1 and pd_up CDK4						
TH03_0141_S01	geneSets_priority1	PID_SMAD2_3NUCLEAR_PATHWAY (pc_up (3/82))	druggable: CDK4 (pc and pd)	overlap_genes_in_pc_up CDK4,MAX,RUNX2 and pd_up CDK4						
TH03_0141_S01	geneSets_priority1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR (pd_up (3/100))	druggable: MDM2 (pd)	overlap_genes_in_pc_up FRS2 and pd_up ADCY6,FRS2,MDM2						
TH03_0141_S01	geneSets_priority1	REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE (pd_up (3/137))	druggable: MDM2 (pd)	overlap_genes_in_pc_up FRS2 and pd_up ADCY6,FRS2,MDM2						
TH03_0141_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR (pd_up (3/112))	druggable: MDM2 (pd)	overlap_genes_in_pc_up FRS2 and pd_up ADCY6,FRS2,MDM2						
TH03_0141_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE (pd_up (3/127))	druggable: MDM2 (pd)	overlap_genes_in_pc_up FRS2 and pd_up ADCY6,FRS2,MDM2						
